headline,sentiment
"Consumer Prices Didn't Increase At All in January --- Situation Hasn't Occurred In Over Four Years; Inflation Is Seen Tamed",1
"Oracle Jumps 11% on Strong Growth; Circuit City Shares Ease, CarMax Hits All-Time High, Morgan Stanley Moves Up",1
"It's Time to Take Some Profits",-1
"Business and Finance",0
"The Outlook -- After the Rise: The Market's Message",0
"Ahead of the Tape",0
"JDS Uniphase, Brocade Tumble As Rate Cut Reinforces Pessimism",-1
"Pricing Power: Lost But Not Forgotten?",-1
"Housing Starts Increased 2.4% During July --- Multifamily Units Pace Rise, But Sector Is Expected To Soften as Rates Climb",0
"Raise Interest Rates, Make Grandma Smile",0
"Pending Home Sales Slip in June; Housing Recovery Remains Choppy Despite Retreat in Interest Rates",-1
"Wednesday's markets: Stocks mixed, bonds decline; Dollar improves",0
"Some economists warn that inflation may be back to haunt the economy",-1
"As Costs Soar, Taxpayers Target Pensions of Cops and Firefighters",-1
"Dow Erases Gains for the Year; Tumultuous Week Shatters Market Calm as Global Growth Fears Rattle Investors",-1
"Bond Investors World-Wide Have Had Little to Cheer About So Far This Year",-1
"Left Behind -- Casualties of a Changing Job Market --- Looking Longer: Why for Many This Recovery Feels More Like a Recession --- As Economy Expands Slowly, Payrolls Keep Shrinking; Downside of Productivity --- Terri Brooks's New Prospect",-1
"Higher Bond Yields May Not Skewer Stocks; Some Traders See Long-Term Rates As Simply Returning to Normal In a Sign of a Strong Economy",1
"Budget deficit grew in the latest month to $40.26 billion",-1
"The Economy: Productivity Gains Spark Optimism on Economy",1
"A Year of Living on the Brink",-1
"Consumer Prices Slow Advance From January --- February's Increase of 0.5% Is More Modest, but Still Disturbs Some Analysts",0
"Gateway, Hewlett-Packard Rise Amid Enthusiasm for Tech Stocks",1
"Senate Committee Approves Extension Of Jobless Benefits",-1
"Philadelphia Fed Survey Increases Growth Forecast",1
"Financials Stage a Comeback As Dow Banks 58.70 Points",1
"Stocks Edge Higher, Ignoring Bad News On Economy, Oil",1
"Business and Finance",0
"Though Bonds Began Weekend With Price Jump, Some Analysts Hold Cheers Until Next Fed Move",0
"Small Banks in U.S. Face Their Own Year-End Cliff",-1
"Moving the Market -- MoneyBeat: Wall Street Speaks Up for Workers",0
"Abreast of the market: Industrials fell 11.35 to 3518.85 as poor economic performance data end rally",-1
"Mortgage Rates Slide for a 7th Straight Week",1
"Ahead of the Tape",0
"Consumers Grow More Upbeat, Nudging Up Sales at Retailers",1
"Business and Finance",0
"Rating Firms To Hold Off Downgrades Of Big Banks",1
"`Dow 36,000' Gurus Hold to Their View Amid Downturn",0
"GE Posts Rise Of 8.6% in Net For 3rd Quarter --- Sales Show 9.2% Gain; Drop In Taxes Cited, but Firm Labels Results `Good'",1
"U.S. Jobless Claims Rose 11,000 Last Week; At Highest Level Since June, But Near Eight-Year Lows",0
"Stock Prices Advance on Strength In Bonds and Economic Optimism",1
"The Outlook: Will Money Keep Economy on the Rise?",0
"Retail Sales Fall 0.4%, Hurt by GM Strike --- Despite Auto-Sector Drop, Outlays by Consumers Stay at Healthy Level",0
"The Outlook: The Fed May Be Getting Into a Box",-1
"Business and Finance",0
"Gold Tumbles 3.1%; Silver Drops 4.9%; Strong Jobs Data Fuel Fears Fed Will Taper Stimulus",0
"Leading Economic Indicators Show Rise In Sign Expansion Can Last to Year End",1
"Bond Prices Rise on Forecasts That Fed Will Push Rates Down to Spur Economy",1
"Dow Industrials Finish 1st Half With 7.7% Gain",1
"Stock Futures Close Higher",1
"Gold's Fate May Rest With Fed",0
"Bond Yields Plunge Amid Falling Rates World-Wide; Declines, Slack Investment By Business Fuel Concerns Over a Global Slowdown",-1
"Fed Stays the Course on Bond Buying; Officials Leave Investors on Tenterhooks About When They Will Wind Down Program",0
"Dollar Declines In Face of Lower Interest Rates",-1
"Ahead of the Tape",0
"Ahead of the Tape",0
"Personal Income Rose Strong 0.9% In September --- Consumer Spending Climbed 1.4%, Indicating Economy Is Likely to Keep Growing",1
"Currency Traders Face Bumpy Ride As Questions on Rates, EU Hit Market",-1
"Longer-Dated Treasury Issues May Bear Brunt of a Rate Cut",-1
"Small-Stock Indexes Lose Ground On Profit Warnings, Oil Prices",-1
"Dollar Rises Against Yen Despite Data",1
"U.S. Jobless Claims Fall; Four-Week Moving Average at Lowest Level in 7 Years",1
"Economy Posts Higher Growth Than Estimated --- Fourth-Quarter GNP Rose At 4.9% Rate; Revision In Trade Deficit Cited",1
"U.S. budget defict widened in February",-1
"Dollar Hits High Against French Franc, British Pound for Third Consecutive Day",1
"Bond Prices Decline On Mixed U.S. Data",0
"Financials Help Dow Tack on 74.96 Points",1
"Fed Chief Signals Rates Still to Rise; Greenspan Says Economy Has Left Soft Spot Behind, But Notes Housing Risk",0
"Consumer debt load is rising again despite a steady decline in confidence",-1
"Job Figures Stayed Bleak in Latest Month; Fed Acts Again to Cut Rates, Aid Economy --- Interest on Federal Funds To Slip to 6%; Some See End to Policy of Easing",-1
"Traders Exit High-Speed Lane --- Firms Reduce Use of Computer-Driven Strategies as Volatility and Volume Wane",0
"U.S. Stocks Slide",-1
"Economic Optimism Lifts Euro",1
"Bond Prices Depressed by Dollar's Fall, Selling By Foreigners, but Short-Term Issues Post Gains",-1
"Wal-Mart Increases Sales Forecast; Despite Blackout, Retailer May Post Biggest Gain In More Than a Year",1
"U.S. Trade Deficit Rose During May, Raising Concerns",-1
"Dollar drops in wake of surge by yen; Clinton disputes Fed's chief on rates",-1
"Treasury Bond Prices Slump With Fall In Dollar's Value and Rise in Oil Price",-1
"Home Mortgage Rates Fall to 5.77% in Week",1
"Bond Prices Climb Due to Dollar's Gain And Outlook for Accord in Budget Talks",1
"Leading Indicators Fell Last Month; Decline is Fourth in a Row; Hurricanes, High Oil Prices Slowed Growth of Economy",-1
"Fever Breaks for Facebook Shares",-1
"Interest Rates Continue Their Decline Amid New Evidence of Slower Economy",-1
"Industrials Surge 30.95 in Reaction to Drop in Rates, Strong Earnings",1
"Analysts Evaluate Stocks of Electric Utilities On Ability to Diversify, Compete With Rivals",0
"U.S. Housing Starts Fall by 9.9% In June; Building Permits Decline, Too, as Rising Mortgage Rates Pose Threat",-1
"The Outlook: Recession May Be Trade Gap's Only Cure",-1
"Toll Brothers Swings to Profit on Improved Sales",1
"U.S. Government Bonds Rise; Fresh Signs of Tame Inflation Bolster Investors' Confidence that Fed Isn't in Hurry to Raise Rates",1
"Basel Bank Official Warns on Stimulus Measures",-1
"No Tapering Soon if the Fed Looks at Labor; A 6.5% unemployment target isn't the only concern. The employment rate matters too, and it's still looking anemic.",-1
"U.S. News: Jobless Aid Shrinks Unevenly --- Benefit Cuts Hit Some Struggling States as Unemployment System Shows Strains",-1
"Targeted Ways To Beat Inflation",0
"Worker Shortage Is Seen Continuing, Leading Recruiters to Step Up Efforts",1
"Business and Finance",0
"U.S. Economic Engine May Shift Lower Fast Business-Borrowing Rate Appears Troublesome",-1
"Ahead of the Tape",0
"Exchange Seat Prices Show Steady Rise; Boom in Futures, Option Trading Cited",1
"Dollar Is Facing a Period of Volatility After Modest Comeback, Analysts Say",0
"The Deflation Battle: Fed Official Issues Call for Aggressive Action --- Chicago President Evans Proposes Raising Inflation Target Above 2% in Effort to Revive the Economy",-1
"Investors Shed Stocks on Fears Of a Slowdown; Treasury Securities Favored Amid Unease; Dow Nears 'Correction'",-1
"Business and Finance",0
"Exxon, Shell Profits Soar On Higher Oil Prices",1
"The Wall Street Journal / NBC News Poll --- A Special Weekly Report From The Wall Street Journal's Capital Bureau",0
"The Economy: Positive Economic Data Rain Down; Faster Growth Is Reported Across U.S. as Orders Rise And Job Picture Improves",1
"Economic Data Pose Inflation Problems; Fed Faces Showdown on Easing Credit --- Industrial Output Plunged 1.7% as Producer Prices Rose 0.5% in November",-1
"Real-Time Data Suggest an Improving Economy",1
"U.S. Trade Gap Shrank Slightly during January",1
"Stocks Climb as Lawmakers Aim at a Deal",1
"Interest rates fall sharply; Stocks climb",1
"The Case of the Missing Workers",-1
"Dollar Finishes Even on Its Rivals After Weak Consumer-View Data",0
"Interest Rates Depress Dollar; Gold Rises $3.10",-1
"New York City Gets a Boost As Moody's Upgrades Debt",1
"Ahead of the Tape",0
"Fears of Stagflation Return As Price Increases Gain Pace; Fed Cuts Outlook For Economic Growth Amid Credit Crunch",-1
"Blue Chips Avoid Retreat After Monday Gain",1
"Small-Stock Focus: Two New Internet IPOs Post Moderate Gains; Markets Shake Off Jitters Over Rubin Resignation",1
"Fun in Sun Is Back for Top Brokers",1
"Jobless Total Greatly Exceeds Prior Estimates --- Survey Change Shows Level Of Unemployed People Is About 600,000 Higher",-1
"Year-End Review of Bond Markets: Junk-Bond Defaults Expected to Multiply ---- Staff Reporter of The Wall Street Journal",-1
"Politics & Economics: Economists Cut GDP Outlook As Oil Prices Remain a Concern",-1
"DJIA Opens the Quarter With a Win",1
"U.S. News: Fed's Kohn Says Recovery Possible in '09",1
"U.S. Budget Deficit For '95 Projected To Decline by CBO",1
"Treasury Prices Fall as Investors React to Solid Economic Data",1
"The First 10,000 Points -- Heard on the Street: Bulls Say a Heated Market Could Get Even Warmer",1
"Futures Markets: Dollar's Plunge Ignites Rallies in Gold, Stock-Index, Foreign-Currency Contracts --- A Wall Street Journal News Roundup",0
"Business and Finance",0
"Has the Bull Just Been Sleeping?",1
"New T-Bill Rates Fall to Lowest Level Since Late 1988",-1
"Economists Say Recession Is Ending with a Whimper",1
"Stocks Fall As Investors Take Profits",-1
"What Big Economies Got Right, or Wrong, After Crisis; Why the U.S. and U.K. Have Fared Better Than Japan and Europe",0
"HCL Technologies Expects Deal Wins to Boost U.S. Sales",1
"Recovery at Philips Electronics Stalls Amid Crises, U.S. Setback",-1
"Bond Rally Lifts Stocks To Records --- Yield Drops to 6.322% On U.S. 30-Year Issue, Delighting Investors",1
"Low Inflation Tests World's Central Banks --- Subdued Prices Persist Despite Years Of Easy Money; Deflation Still a Threat",-1
"Bond Investors Fear That Federal Reserve Moves To Lift Economy Hurt Treasurys in Long Term",-1
"Stocks Fall on Disappointing Earnings, Confidence Report",-1
"U.S. News: Food Stamps Surge in West --- Sharp Rise Since Bottom Fell Out of Region's Boom Clashes With Go-It-Alone Ethos",-1
"Heard on the street: Some analysts are still bearish on bank stocks even though they may seem to be enticing",-1
"Business and Finance",0
"As Food Prices Rise, Fed Keeps a Watchful Eye; Central Bank Officials Sometimes Look Past Food-Cost Increases",0
"Producer Prices Jumped 1% in July; Energy and Car Costs Soar, But Economists Fail to See Signals of Broad Inflation",-1
"Dollar Shoots Higher after Official Comments on Falling German Rates",1
"Crude Plunges Under $96",1
"Blue-Chip Stock Prices Rebound To Close Higher, but Others Fall",0
"Most Rates Edge Higher on Nervousness That Fed May Tighten Credit Grip Soon",-1
"Employment Eased in October After Two Gains --- Report Indicates Recovery Is Faltering; Forecasting Gauge Fell in September",-1
"Key Inflation Gauge Is Revised Upward, Despite More Signs Economy Is Cooling",-1
"US Jobless Claims Disappoint",-1
"Bonds Slip in Light Session, but Analysts Expect Higher Prices in Coming Months",0
"Ford Planning $1 Billion Sale Of Preferred --- Move Surprises Wall Street; Firm May Post Losses For 3rd and 4th Quarters",-1
"Global Woes Are Expected To Slow Region's Growth",-1
"Business and Finance",0
"Calendar Lends a Hand in Cutting August Deficit",1
"Growth-Stock Investors Stand Pat despite Recent Surge for Cyclicals",0
"Venture Capital Forced to Perform Triage",-1
"Office Vacancies Declined Last Year For First Time in 6 Years, Survey Says",1
"Fund Managers Beat S&P 500 in August",1
"Business and Finance",0
"Federal Reserve Again Relaxes Its Credit Grip --- Move Comes Just 2 Weeks After Previous Easing; Rate May Drop to 8 1/4%",1
"BofA and Caterpillar Both Fall More Than 3%",-1
"Lehman's Property Bets Are Coming Back to Bite; Dow's Modest Gain Masks Big Declines In Financial Stocks",-1
"Blue Chips Edge Back To Black",1
"Merck Shares Weigh on Blue Chips; Industrials, S&P Decline As Rate Jitters Creep In; Apple Buoys the Nasdaq",0
"Stocks Stage Late Rally; Bonds Rise --- Oil Prices Aid Energy Shares, Hurt Airlines; Treasurys Pose Puzzle",1
"U.S. Worker Productivity Climbs",1
"What's Really in the Ryan Budget",0
"Rostenkowski Moves to Redirect Budget Debate With Tax Proposal --- Plan Would Increase Levies And the Top Rate While Holding Down Spending",0
"Consumer Prices Increased 0.3% In November --- Third-Quarter GNP Rose At 2.5% Annual Rate; Inflation Appears to Ease",1
"Dollar Ends Mixed As Action by Fed Eagerly Awaited",0
"Tracking the Economy",0
"Commerce Agency's Revised GNP Data Change View of Economic Performance",0
"Business and Finance",0
"Initial Jobless Claims Declined Slightly in Week, Signaling Weak Recovery",0
"Interest Rates Are Seen Pushing Higher Even When Economic Slowdown Appears",-1
"Business and Finance",0
"Business and Finance",0
"Unemployment Declines to 29-Year Low --- Pressure on Wages Remains Tame, Cutting Chances Of Rate Increase by Fed",1
"Abreast of the market: Stocks resume slide amid jump in bond yields, fears of rate rise",-1
"Katrina Forces Investors To Rethink Fall Strategies",-1
"Factory Orders In May Posted Decline of 2.5% --- Report Further Confirms Slowing U.S. Economy; Many Sectors Show Sag",-1
"Dollar Mostly Lower, Despite Growth Figure --- GNP Better Than Expected But Traders Still Await A Cut in Discount Rate",-1
"Big Banks Increase Prime Rate to 10 1/2% --- Half-Point Rise Puts Fee At Highest in 3 1/2 Years; Some See Further Boosts",-1
"Treasury Yield Knocks on 3% Door",-1
"Industrials Rise 27.26 To 3718.37 --- Stock Average Ignores Falling Bond Prices And Decline in Dollar",1
"Nasdaq's System Outage This Week Highlights Limitations of Technology Amid Heavy Volume",-1
"The Dollar Takes a Beating",-1
"Carrington Cancels Stock-Purchase Pact With Its Chairman",-1
"OCC Data Reaffirm Wall Street Warning",-1
"Treasury Prices Climb Sharply on Fresh Signs of Weak Economy, Auguring a Fed Rate Cut",-1
"Price of Gasoline Rose at the Pump During October",-1
"Business and Finance",0
"Abreast of the market: Stock prices finish mostly lower in volatile, high-volume session",-1
"Fifteen-Year Mortgage Hits a Record Low",1
"As Fastenal Shares Dropped Last Week, Executives Bought",1
"Abreast of the market: Stocks retreat on drop in dollar, unease before Friday's price data",-1
"Bond Rally Begun Tuesday Fizzles Out Despite Drop in Some Short-Term Rates",-1
"Business and Finance",0
"Recovery Doubts Drive Broad Decline",-1
"After the Crash -- On the Spot: Stock Market's Frenzy Puts Fed's Greenspan In a Crucial Position --- He Must Aid the Economy But Not Fuel Inflation; Is Tax Rise Now Possible? --- Reagan's Bipartisan Stance",-1
"Wary Car Firms Plan Cutbacks In 4th Quarter --- Year-End Output Forecasters, Lowest Since '82, Reflect Fears of Possible Slump",-1
"Business and Finance",0
"Manufacturers Enjoy Surge in Business --- Strong Growth May Lead To Further Tightening By Fed, Executives Fear",0
"Big Banks Ramp Up Business Lending; Increase Driven by Loosening Lending Standards",1
"Microsoft Investors Worry About `Conduct Remedies'",-1
"Bond Prices Surge, Stocks Slump on Jobs Data --- Gloomy Report About Payrolls Batters DJIA",-1
"Employment Data Don't Ease Rate Fears --- Payrolls Expand by 310,000, While Hourly Wages Increase at a Fast Pace",-1
"Visa Net Climbs 33% As Spending Picks Up",1
"Consumer Confidence Posts Sharp Drop, Easing Concern Over Interest-Rate Rise",-1
"Large hedge funds see sudden reversal of fortune",-1
"The Outlook: Capital Spending Will Boost Recovery",1
"Corporate News -- The Week Ahead: Retailers Suit Up for Holiday Results",0
"Ahead of the Tape",0
"For U.S. Now, $80 Oil May Be Tough to Bear",-1
"U.S. Budget Deficit Grows to $27.6 Billion",-1
"F.W. Dodge Report Ties Rise To Less Severe Weather; Residential Jobs Strong",1
"Treasury Prices Fall Hard, Reflecting Investors' Worries",-1
"Business and Finance",0
"Going Global: Dollar's Rally Could Be Short-Lived; Many Expect U.S. Currency To Resume Its Decline After Coming G-7 Meeting",-1
"Foreign Investors Boost Purchases of U.S. Securities",1
"Dollar Rises Against Euro And Yen After Jobs Data",1
"Gloom Lifting for Pension Plans",1
"Credit Tightens, Demand Falls",-1
"Ahead of the Tape",0
"Wall Street Limps Through a Blackout Monday",-1
"U.S. Trade Deficit Widens to a Record Due to Weak Exports, Strong Imports",-1
"Dollar's Drop Last Friday Could Signal New Weakness, End of Its Long Climb",-1
"U.S. Cities Are Mired in Fiscal Woes; Study Finds a Dim Outlook, As Costs Outstrip Revenue While State Aid Dries Up",-1
"Ahead of the Tape",0
"Business and Finance",0
"Energy Pushes U.S. Prices Higher",-1
"Financial Earnings: MasterCard Gets Overseas Boost",1
"World Business (A Special Report): Rankings --- The Global Giants: Annual survey shows U.S. Firms have gained ground",1
"Home Price Forecast '98: Booming Economy Boosts Home Prices --- San Francisco Sizzles; Detroit Still Hot; a Slight Chill in Chicago",1
"How to Grow Out of the Deficit; Limiting spending increases to inflation minus 1% would balance the budget in less than a decade.",0
"Fed Intervenes To Curb Dollar; It Buys Marks",-1
"Manager's journal: America's corporations should swear off pork",0
"Stock Market Quarterly Review --- Led by U.S. Tribulations, Third Quarter Held More Pain for World Markets --- European Shares Tumbled, Japan Gave Up Some Gains And Emerging Stocks Varied",-1
"Forex View: U.S. Data Point To Sliding Dollar",-1
"Business and Finance",0
"Behind the Middle-Class Funk",-1
"U.S. Stocks Rise a Bit; Bonds Ease --- Big Board Volume Is Light Following Tokyo Market's Slide",0
"Emerging-Market Currencies Slip as Markets Reassess",-1
"Fed Panel Voted for Delayed Tightening Of Credit, Report on May Meeting Says",0
"Greenspan Doesn't See Gas Prices Falling Soon",-1
"Purchasing Chiefs Report Upturn In New Orders",1
"Stock Mutual-Fund Selling Slows --- Withdrawals Outpaced Investments in October By a Narrower $7.7 Billion",1
"Ahead of the Tape",0
"Consumer Confidence Fell in September --- Index Drop of 10.7 Is Largest Since Post-Crash Period; Cause Termed Unclear",-1
"The Market Bounceback: When Stocks Shimmy, New York Shakes",0
"Weak Earnings Spark Selloff --- U.S. Stocks Lose $500 Billion in Three Days, as Fed's Impact Appears to Fade",-1
"Blue-Chip Stocks Decline a Bit; Firstar, IBM, J.P. Morgan Shine",0
"Optimism Drives Rise In Stocks --- Dow Jones Industrials Rally by 172.92 Points On Hopes for Economy",1
"An Appraisal: Triple Expiration Wasn't So Momentous After All",0
"Business and Finance",0
"U.S. Budget Deficit Narrows Through Two-Thirds of Fiscal Year; Higher Tax Take, Smaller Federal Outlays Help Narrow Gap",1
"Stock Prices Post Modest Advance With Volume Remaining Sluggish",1
"Rate Concerns Leave Stocks Mixed; Industrials Decline 5.03, to 1181.53",-1
"Dollar Is Expected to Rise Against Yen, Euro as the U.S. Economy Surges Ahead",1
"Business and Finance",0
"The Fed's Blueprint for Financial Control; Dan Tarullo's recent speech suggests that the central bank is intent on wide regulation of U.S. capital markets.",0
"No Headline Available",0
"Despite Steady Job Gains, There's Still No Clear Sign of a Pickup in Wages",0
"Building-Products Firms Are Faring Well --- Quarterly Earnings Again Are Strong, Analysts Say",1
"Inventories Decline As Companies Keep An Eye on Recovery",-1
"Fairness and the Capital Tax Fetish",0
"Initial Jobless Claims Drop to Three-Month Low",1
"Corporate Executives Urge Bush to Block Measures That Increase Business Costs",-1
"Business and Finance",0
"Small stock focus: Shares gain, led by technology issues; Software merger announcements cited",1
"Ahead of the Tape",0
"Economy's pace loses its spring: Fed survey says weak spending cooled growth",-1
"U.S. Debt and the Greece Analogy; Don't be fooled by today's low interest rates. The government could very quickly discover the limits of its borrowing capacity.",-1
"Slowing Wage Increases Are Behind Optimism Inflation Will Remain Low",1
"Nonfarm Worker Output Rose at 0.1% Annual Rate",0
"Warning Signs: After Historic Surge, Profit Gains May Face An Extended Slump --- S&P 500's Earnings Are Seen Falling 9% in 1st Quarter, Worst Showing Since 1991 --- The Era of the Write Off?",-1
"Moving the Market -- Tracking the Numbers / What's Hot...and Not: Investors Get Aggressive as Oil and Dollar Plunge; Hard Chargers Bet Big On Economic Recovery, More Woes for U.S. Dollar",0
"Jobs Data Suggest U.S. Is in Recession; Largest Payroll Fall In Five Years Spurs New Stimulus Talk",-1
"Dow Makes Modest Gains As Crude-Oil Prices Jump",1
"An Appraisal: Brokerage Houses Could Face Cuts as Summer Ends",-1
"Aetna, Cigna and UnumProvident Show Declines; Rise of Texas Instruments, IBM Fails to Lift Market Rattled by Insurance News",-1
"U.S. News: Job Openings Remained Scant in May",-1
"Blue Chips Rise Despite IBM Probe, While Nasdaq Hits High for Past Year",1
"Anatomy of a Credit Crunch: How it Started, What Might Be Done to End It",-1
"Ahead of the Tape",0
"Most Interest Rates End Little Changed As Oil Prices Climb and Dollar Slumps",0
"Trade Gap Widens, Yet Outlook Is Upbeat; Economists Are Hopeful Exports Will Extend Rise And Oil Prices Will Fall",0
"Fed Lowers Interest Rates In Bid to Reassure Markets --- More Decreases May Come, Depending on the Need; ECB Also Cuts Rates",1
"Incomes in U.S. Beat Inflation During '90s Boom",1
"Dollar Loses Ground as Oil Fuels Worries",-1
"Prized Parts of Tax Plan May Get Ax --- `Everything's on the Table' As Republicans Seek Room For Bush Dividend Measure",0
"Thursday's markets: Plunge in bond prices sends stocks skidding",-1
"News of Slower Economic Growth, Drop In Money Supply Drive Up Bond Prices",-1
"Low Inflation, Economy's Rapid Growth Seen Blocking Shift in Fed Credit Policy",1
"Reigning Wisdom's Shaky Economic Ground",-1
"The Bad News Is The U.S. Economy Keeps Humming",1
"America Inc. Wakes Up to Wage Inflation",-1
"Atwood Oceanics, Take-Two Rise; Medical-Equipment Stocks Fall",0
"Bond Prices Rally as Volcker Remarks Indicate Steady Fed Policy to Traders",1
"U.S. News: Economists Split On Growth Recipe",0
"As Investors Puzzle Over Fed Statement, Dow Gains",1
"Stock Prices End Mixed; Bonds Gain --- Investors Are Torn By Fears About IBM, Relief Over Rates",0
"Blue Chips Jump 227.64 Points; Labor, GDP Data Fuel Optimism",1
"Parker Hannifin Expects Better Year In Fiscal 1993",1
"Gold-Futures Prices Advance $6.60 on Concerns Over Mideast, Inflation and on Dollar's Weakness",-1
"U.S. News --- THE OUTLOOK: Fed Weighs Trio of Economic Risks as It Meets",-1
"Beware Bond-Market Mood Swings",-1
"Business and Finance",0
"Large Stock Focus: Disney, Alcoa Lift The DJIA",1
"Dollar Edges Up as Participants Await The Release of U.S. Employment Data",0
"Industrials Advance 26.94 Points, Led by Rises in Bonds and Dollar",1
"Dollar Gains Slightly After GNP Report Meets Expectations",1
"U.S. Economy Slowing Down? Cut Taxes.",0
"Europe's Markets Feel Own Pain",-1
"Heard on the Street: With Corporate Debt Hangover Easing, Leveraged Firms' Shares Are Taking Off",1
"Tech Sector Bucks a Trend; Rate Fears Hit Most Stocks",0
"Boost for Foreclosure Market; Real-Estate Firm Gets Citigroup Loan to Buy Properties to Turn Into Rentals",1
"Business and Finance",0
"Job Growth Is Seen Slowing In Second Half --- Conference Board Predicts Businesses Will Still Feel Pressure to Trim Staffs",-1
"PC Makers Gain As Mainframe Firms Struggle --- Compaq, Sun Microsystems To Post Jump in Net; DEC, Unisys Faltering",0
"Fashion Change: Hilfiger's IPO Is Shelved; Pullback Reveals Anxiety In Luxury-Goods Sector Amid Market Volatility",-1
"Dow Industrials Rally 71 Points As Profits Shine",1
"Business and Finance",0
"Upbeat Rate Talk Extends Stock Gains As Industrials Near a Six-Year High",1
"Business and Finance",0
"Moving the Market: Lehman Reports 47% Surge in Profit; Investment Banking Gives Results a Boost but Stock Drops on Market Worries",0
"Profit Survey...Job Creation The Boss's Pay...R&D Work",0
"Dollar Declines, Dropping 1.1% Against Yen --- Most Other Units Also Gain Against U.S. Currency As Interest Rates Rise",-1
"Business and Finance",0
"Bond vigilantes have vanished as prices zoom",1
"Steady Consumer Confidence May Pay Off for Retailers --- Signs of Rising Jobless Rate Aren't Expected to Stop Holiday Shopping Sprees",1
"Jobless Rate Suggests Recovery Isn't Near --- Unemployment Hits 5.7% Economists Predict Fed Will Cut Rates Again",-1
"Business and Finance",0
"Trade Gap Widened to $10.29 Billion During January as Imports Surged",-1
"Bond Prices Surge Amid Expectations Of Oil-Price Cut by Producer Countries",1
"Letters to the Editor: How to Pump Adrenalin Into an Anemic Economy",0
"August's Stock Market Turmoil Tests Faith of Corporate Insiders",-1
"Productivity Grows at Slow 1% Pace, Reflecting Sluggishness in Economy",-1
"Small Banking Stocks Vault Over Their Bigger Brethren",1
"Broad Band: Nasdaq Stocks' Swings Are Unprecedented -- But Taken in Stride --- Instant News, Online Trades, Momentum Investing All Increase the Volatility --- Consumers Are Not Spooked",0
"U.S. Government Bonds Gain on GDP Qualms; Headline Reading of 3.5% Growth Masks Some Underlying Concerns",-1
"WSJ(7/22) UPDATE: Bush Panel Wins Points On Benefits Plan",1
"U.S. News: For Yellen, Fed's Dual Mandate Guides Thinking",0
"Bush Needs a Pro-Growth Agenda -- ASAP",-1
"There's No Escaping Hauser's Law",0
"Nonfarm Sector Added 169,000 Workers in July --- Gain May Indicate U.S. Still Is Safe From Recession; Jobless Rate Falls 0.1%",1
